dataset,path,bpp,msssim_torch,msssim_iqa,psnr,vif,fsim,nlpd,iw-ssim,vmaf,psnr_hvs
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/odyhbcgchi.jpg,2.0,0.9995068311691284,0.9995043277740479,47.354251981180155,52.70175722970948,52.29190292382495,0.9076180458068848,0.9969465136528015,0.02645079791545868,0.9994264245033264
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/kgmqyotoqo.jpg,0.12,0.9707083702087402,0.9698772430419922,24.766103898830316,32.75748719161256,40.4331852768652,0.3637574017047882,0.8569007515907288,0.2598308026790619,0.9582098722457886
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/kgmqyotoqo.jpg,0.25,0.989780843257904,0.9895467162132263,28.0059285648882,33.58944045573288,40.81109848963506,0.48270875215530396,0.9242685437202454,0.16533403098583221,0.9850215911865234
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/kgmqyotoqo.jpg,0.75,0.9982945322990417,0.9982658624649048,34.30045171587528,38.073033440940236,44.761129474250765,0.6684994697570801,0.9792304635047913,0.07682308554649353,0.9972891211509705
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/kgmqyotoqo.jpg,1.0,0.9990501999855042,0.9990259408950806,36.47467411989758,39.08955917920399,45.72846726280517,0.7228115200996399,0.9872903823852539,0.05893300101161003,0.9984170198440552
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/kgmqyotoqo.jpg,2.0,0.9997440576553345,0.9997380375862122,41.11330639711662,45.02881272853122,50.81157000873774,0.8293611407279968,0.9966156482696533,0.03350074216723442,0.9994837641716003
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32012.png,0.12,0.9915417432785034,0.9914538860321045,38.37972295663175,43.23901010949458,40.08929271711261,0.6523225903511047,0.9954254031181335,0.09310014545917511,0.9823383092880249
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32012.png,0.25,0.9963827729225159,0.9963505268096924,42.00335669941369,45.15577613676256,42.8281805190401,0.7548143267631531,0.9982426166534424,0.06095387786626816,0.9934238195419312
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32012.png,0.75,0.9992551207542419,0.9992464780807495,49.39811603847469,51.55508086620626,51.5952358836617,0.9105029106140137,0.9998369216918945,0.027004282921552658,0.9990744590759277
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32012.png,1.0,0.9994604587554932,0.9994538426399231,50.555573418531054,52.420098298982396,52.43179375300596,0.929682195186615,0.9998917579650879,0.02338482439517975,0.9993646144866943
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32012.png,2.0,0.9997242093086243,0.9997183680534363,52.77292344544373,54.17736423571703,54.32926291065382,0.9548249840736389,0.9999572038650513,0.017623811960220337,0.9996969103813171
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32023.png,0.12,0.9749093055725098,0.9746428728103638,34.226247526289214,44.722560479299204,41.99523401764195,0.4606809616088867,0.9922195076942444,0.15064376592636108,0.9578106999397278
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32023.png,0.25,0.9900485873222351,0.9898222088813782,37.52892078580307,45.9144973486347,43.66799523181352,0.5912681818008423,0.9978014826774597,0.09778793156147003,0.9848508834838867
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32023.png,0.75,0.9975887537002563,0.9974083304405212,43.3181175389866,48.60613188361535,48.50140177131163,0.7770517468452454,0.9995814561843872,0.04967370629310608,0.9968566298484802
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32023.png,1.0,0.9983870387077332,0.9981411695480347,45.416365763826896,50.2335158405647,50.28504559520317,0.8405786156654358,0.9997203946113586,0.04000179469585419,0.9979233145713806
ffhq,/nas/public/exchange/JPEG-AI/data/TEST/ffhq/original/32023.png,2.0,0.99940425157547,0.9991956353187561,48.77020535457594,52.65454683399426,53.188809648769976,0.9139760136604309,0.9999198913574219,0.025484856218099594,0.9991547465324402
